anio,numero,asignatura,tema,enunciado,opcion_1,opcion_2,opcion_3,opcion_4,respuesta_correcta
2015,1,Estadística y Metodología,Bioestadística,El potencial de equilibrio para un ión permeante a través de una membrana se calcula mediante:,El equilibrio de Gibbs-Donnan.,La ecuación de Goldman-Hodgkin-Katz.,La ecuación de Ohm.,La ecuación de Nernst.,4
2015,2,Fisiología y Anatomía,Sistema Nervioso y Sentidos,"Tras la recepción de la luz, la permeabilidad de los fotorreceptores al:",Sodio disminuye.,Potasio disminuye.,AMPc aumenta.,GMPc aumenta.,1
2015,3,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Las fibras sensoriales con mayor velocidad de conducción son de:,Propiocepción.,Tacto discriminativo.,Temperatura.,Dolor.,1
2015,4,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Los conos de la retina:,Poseen mayor sensibilidad a la luz que los bastones.,Se distribuyen homogéneamente en la retina.,Proporcionan elevada agudeza visual.,Tienen un único tipo de opsina.,3
2015,5,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Las células de Purkinje:,Excitan neuronas del núcleo ventral-anterior talámico.,Inhiben neuronas de núcleos cerebelosos profundos.,Excitan neuronas de corteza motora primaria.,Inhiben motoneuronas espinales.,2
2015,6,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Discrimina el tono de un sonido:,Las características de la membrana basilar.,La amplitud del potencial de acción.,El desplazamiento de los cilios.,La frecuencia de impulsos nerviosos.,1
2015,7,Fisiología y Anatomía,Sistema Nervioso y Sentidos,En los reflejos espinales:,Monosinápticos intervienen interneuronas.,Las interneuronas forman la vía final común.,Las neuronas sensitivas entran en la médula por la parte dorsal.,Las motoneuronas gamma inervan las fibras del músculo esquelético.,3
2015,8,Biología Celular e Histología,Membrana y Tráfico,Las fibras trepadoras que llegan a la corteza cerebelosa sinaptan con las células:,De Purkinge.,Granulosas solamente.,Granulosas y estrelladas.,De Golgi.,1
2015,9,Fisiología y Anatomía,Sistema Nervioso y Sentidos,"En el cerebelo, tiene función específica sobre el control de la postura:",El núcleo dentado.,Las áreas laterales de los hemisferios cerebelosos.,El núcleo intermedio.,El lóbulo floculonodular.,4
2015,10,Fisiología y Anatomía,Endocrino y Reproductor,Estimula a las células cromafines de la médula adrenal la:,Acetil-colina.,Noradrenalina.,Dopamina.,Serotonina.,1
2015,11,Biología Celular e Histología,Membrana y Tráfico,Es monosináptico el reflejo:,Extensor cruzado.,Tendinoso de Golgi.,Miotático.,De flexión.,3
2015,12,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Las células ciliadas de los canales semicirculares:,Detectan aceleración lineal.,Se despolarizan por entrada de K+ desde la endolinfa.,Poseen otolitos en su superficie.,Orientan sus estereocilios perpendicularmente a la estriola.,2
2015,13,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Reaccionan a la presión profunda y vibración rápida los corpúsculos de:,Meissner.,Merkel.,Ruffini.,Pacini.,4
2015,14,Fisiología y Anatomía,Cardiovascular y Respiratorio,La inspiración favorece al retorno venoso porque:,Disminuye la presión venosa central.,Aumenta la presión arterial.,Incrementa la presión intratorácica.,Disminuye la presión capilar pulmonar.,1
2015,15,Fisiología y Anatomía,Cardiovascular y Respiratorio,La presión aórtica es mínima durante la fase de:,Llenado ventricular lento.,Relajación isométrica.,Contracción isométrica.,Sístole auricular.,3
2015,16,Fisiología y Anatomía,Cardiovascular y Respiratorio,El descenso de la presión arterial:,Aumenta la tasa de filtración glomerular.,Disminuye la Angiotensina II en plasma.,Disminuye la actividad cardiovascular.,Aumenta la liberación de aldosterona.,4
2015,17,Fisiología y Anatomía,Cardiovascular y Respiratorio,El volumen minuto del ventrículo derecho e izquierdo es:,Similar.,Mucho mayor en el izquierdo porque la post carga es mayor.,Mucho menor en el derecho porque la presión de eyección es menor,Mucho menor en el derecho porque la musculatura del ventrículo derecho es menor.,1
2015,18,Fisiología y Anatomía,Cardiovascular y Respiratorio,La estimulación vagal del corazón fundamentalmente causa:,Bradicardia.,Aumento de la velocidad de conducción en el nodo aurículo-ventricular.,Aumento de la fuerza contráctil.,Aumento del gasto cardiaco.,1
2015,19,Fisiología y Anatomía,Cardiovascular y Respiratorio,La vasodilatación de las arteriolas aumenta:,La resistencia periférica total.,La presión arterial.,El flujo sanguíneo capilar.,La viscosidad de la sangre.,3
